"id","from_user","to_user","message","date","read","deleted"
"2363","1","1","Why can not chang voici without connection nnedynshimirimana@gmail.com","2016-10-30 13:35:57","1","0"
"2364","1","1","Anju pantha sk935159@gmail.com","2016-11-04 08:30:16","1","0"
"2365","1","1","shyamu123* sk935159@gmail.com","2016-11-04 08:30:39","1","0"
"2366","1","2270","Hi, thank you for joining us, please use the profile creator tab to build your profile.",,,
"Do you also have high quality images you can use please?",,,,,,
"Many thanks",,,,,,
"Admin","2016-11-04 09:55:48","0","0",,,
"2368","1","1","Hello, I&#039;m Shan from BBC World Service radio in London UK.  We are looking for a studio with ISDN in Salvador, Brazil, to =facilitate a guest who is taking part in a a discussion programme being recorded on 6th December. Are you able to help or advise please?  We hope to hear from you very soon.  My thanks to you.  With best wishes",,,
"Shan Pillay - BBC World Service - tel +44 207 613 1747  shan.pillay@bbc.co.uk  shan.pillay@bbc.co.uk","2016-12-01 13:34:03","1","0",,,
"2369","1","1","hi qaali falastiin","2016-12-03 06:12:42","1","0"
"2370","1","1","Hi",,,
"We can help your website to get on first page of Google and increase the number of leads and sales you are getting from your website. Please email us back for full proposal.",,,,,,
"Best Regards",,,,,,
"Kathy kathylbrt@gmail.com","2016-12-23 09:55:14","1","0",,,
"2371","1","1","pauUl dJ paul","2017-01-01 12:15:05","1","0"
"2372","1","1","dj PAul dJ paul","2017-01-01 12:15:31","1","0"
"2373","1","1","dJ paul","2017-01-01 12:15:34","1","0"
"2374","1","1","8250182653 bakibullanaiyagmail.com","2017-01-19 18:16:57","1","0"
"2375","1","1","bakibullanaiyagmail.com","2017-01-19 18:17:11","1","0"
"2376","1","1","aburayhanemail.com@email.com","2017-02-05 16:16:13","1","0"
"2377","1","1","good aburayhanemail.com@email.com","2017-02-05 16:16:42","1","0"
"2378","1","1","aburayhanemail.com@gmail.com","2017-02-05 16:17:47","1","0"
"2379","1","1","aburayhanemail.com@gmail.com","2017-02-05 16:35:05","1","0"
"2380","2321","1","i want my studio to be verified","2017-04-12 21:20:08","1","0"
"2381","1","2321","Thank you and welcome. Please can you read the criteria.","2017-04-16 20:38:01","0","0"
"2382","1","2321","https://voiceoverstudiofinder.com/verified","2017-04-16 20:38:03","0","0"
"2384","1","1","sssss","2017-05-06 08:39:16","1","0"
"2387","1","1","Hello, hope all is well... I&#039;m trying to signup on your web page voice over studio finder but I did&#039;t find my country Lebanon, Since 1995 we have delivered professional voice overs to global companies all over the world. could you please help? please check our website: ",,,
"http://www.forest-studios.com/arabic-vo/ mkebbe@forest-studios.com","2017-05-08 11:04:43","1","0",,,
"2388","1","2099","Great to have you on Studio Finder.",,,
"We have given the prices a new look. Would you like to add a new banner?",,,,,,
"Many thanks",,,,,,
"Guy &amp; Duncan","2017-05-08 15:52:43","0","0",,,
"2390","1","1848","Hey",,,
"Just a little update. Studio Finder is having a a design update right now.",,,,,,
"It would be great if you&#039;d add a banner picture to your profile.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"Other news",,,,,,
"We are tracking even better now on Google as a website for &#039;Studio Finder&#039;. Top of page 1, so we&#039;d love all profiles to look even slicker :-)",,,,,,
"Clicking the new &#039;profile creator&#039; gives you an easy way to add to your profile too.",,,,,,
"Thank you for being the early adopters of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-12 09:37:12","1","0",,,
"2391","1","1","TEST ",,,
"TEST ",,,,,,
"TEST","2017-05-12 09:53:08","1","0",,,
"2392","1","1","TEST ",,,
"TEST","2017-05-12 09:54:31","1","0",,,
"2393","1","1848","Hey",,,
"Just a little update. Studio Finder is having a a design update right now.",,,,,,
"It would be great if you&#039;d add a banner picture to your profile.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"Other news",,,,,,
"We are tracking even better now on Google as a website for &#039;Studio Finder&#039;. Top of page 1, so we&#039;d love all profiles to look even slicker :-)",,,,,,
"Clicking the new &#039;profile creator&#039; gives you an easy way to add to your profile too.",,,,,,
"Thank you for being the early adopters of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-12 09:54:58","1","0",,,
"2394","1","1","test","2017-05-12 09:57:55","1","0"
"2398","1","1848","Hey",,,
"Just a little update. Studio Finder is having a a design update right now.",,,,,,
"It would be great if you&#039;d add a banner picture to your profile.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"Other news",,,,,,
"We are tracking even better now on Google as a website for &#039;Studio Finder&#039;. Top of page 1, so we&#039;d love all profiles to look even slicker :-)",,,,,,
"Clicking the new &#039;profile creator&#039; gives you an easy way to add to your profile too.",,,,,,
"Thank you for being the early adopters of Studio Finder.",,,,,,
"Best wishes",,,,,,
"Guy &amp; Dunc","2017-05-12 10:06:35","1","0",,,
"2422","1","1","Test",,,
"test",,,,,,
"test ",,,,,,
"test","2017-05-14 23:21:53","1","0",,,
"2430","1","1848","Hey",,,
"Just a little update. Studio Finder is having a a design update right now.",,,,,,
"It would be great if you&#039;d add a banner picture to your profile.",,,,,,
"https://voiceoverstudiofinder.com",,,,,,
"Other news",,,,,,
"We are tracking even better now on Google as a website for &#039;Studio Finder&#039;. Top of page 1, so we&#039;d love all profiles to look even slicker :-)",,,,,,
"Clicking the new &#039;profile creator&#039; gives you an easy way to add to your profile too.",,,,,,
"Thank you for being the early adopters of Studio Finder.",,,,,,
"Best wishes",,,,,,
